"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Dakota","Ramsey","Auto 2 Person","Work",2782.88832250843
"Ramsey","Ramsey","Walk-Transit","Work",15695.9196113987
"Washington","Washington","Auto SOV","Shop",34171.0618267278
"Washington","Washington","Auto SOV","Discretionary",27472.2808138859
"Carver","Hennepin","Auto SOV","Maintenance",14409.5376688612
"Hennepin","Carver","Auto SOV","Maintenance",14413.8009684897
"Hennepin","Carver","Auto SOV","Shop",1521.36692042336
"Ramsey","Hennepin","Walk","Work",1159.00846554659
"Ramsey","Hennepin","Auto SOV","Escort",4904.38556096379
"Hennepin","Ramsey","Auto 2 Person","Escort",7216.74144582733
"Ramsey","Hennepin","Auto 2 Person","Escort",7003.06214267654
"Hennepin","Hennepin","Walk-Transit","Visiting",4394.8781984692
"Ramsey","Hennepin","Walk-Transit","Maintenance",4445.02355361314
"Rice","Scott","Auto SOV","Work",221.513678940066
"Le Sueur","Scott","Auto SOV","Work",2649.42254691849
"Scott","Le Sueur","Auto SOV","Eating Out",52.90723277481
"Le Sueur","Scott","Auto 2 Person","Eating Out",13.5879088265584
"Scott","Rice","Auto 2 Person","Eating Out",217.018910063897
"Dakota","Rice","Auto SOV","Eating Out",13.5879088265584
"Dakota","Washington","Auto SOV","Shop",700.754768711775
"Washington","Dakota","Auto SOV","Shop",970.731120119648
"Washington","Ramsey","Auto SOV","Maintenance",29871.8769771337
"Washington","Washington","Auto 2 Person","Visiting",9291.32151296467
"Hennepin","Scott","Auto SOV","Work",13806.68204454
"Scott","Scott","Auto SOV","Shop",11865.226923149
"Scott","Hennepin","Auto SOV","Shop",1319.73003471968
"Carver","Carver","Auto 2 Person","Discretionary",8915.77282776568
"Anoka","Ramsey","Auto SOV","Shop",5010.20012547516
"Ramsey","Anoka","Auto SOV","Shop",3948.51207591003
"Anoka","Anoka","Auto SOV","Shop",46863.2384353772
"Anoka","Anoka","Walk","Shop",9946.96454089439
"Anoka","Anoka","Walk","Discretionary",25780.7181115392
"Polk","Polk","Walk","Maintenance",7288.78675973482
"Hennepin","Hennepin","Bike/Moped","Discretionary",16722.6561614521
"Hennepin","Ramsey","Bike/Moped","Discretionary",878.115337457853
"Ramsey","Hennepin","Bike/Moped","Shop",167.10708990423
"Hennepin","Hennepin","Bike/Moped","Shop",5191.05335497627
"Rice","Goodhue","Auto SOV","Maintenance",1512.9659313684
"Goodhue","Goodhue","Auto 2 Person","Eating Out",4567.48164552898
"Goodhue","Goodhue","Walk","Eating Out",1014.64207269254
"Goodhue","Rice","Auto 2 Person","Eating Out",239.669379649564
"Rice","Ramsey","Auto SOV","Work",1544.29742146166
"Ramsey","Rice","Walk","Work",239.669379649564
"Rice","Goodhue","Auto SOV","Work",1208.3476405975
"Sherburne","Hennepin","Auto SOV","Work",10543.6735211479
"Hennepin","Sherburne","Auto 2 Person","Work",505.236067700994
"Sherburne","Sherburne","Auto 2 Person","Work",3967.14534831554
"Sherburne","Sherburne","Auto SOV","Maintenance",25303.0927129328
"Sherburne","Wright","Auto SOV","Visiting",352.119528099415
"Wright","Wright","Auto SOV","Visiting",5963.57302360687
"Ramsey","Dakota","Auto 2 Person","Shop",6002.58787945053
"Hennepin","Dakota","Auto 2 Person","Shop",2317.77482983608
"Dakota","Ramsey","Auto 2 Person","Discretionary",1194.11295511096
"Ramsey","Dakota","Auto 2 Person","Discretionary",1258.63325994433
"Hennepin","Dakota","Auto 2 Person","Discretionary",1939.78161338227
"Carver","Carver","Auto SOV","Maintenance",29411.5955324033
"Carver","Carver","Walk","Discretionary",11422.6137813323
"Hennepin","Ramsey","Auto SOV","Work-based",2024.34338357207
"Ramsey","Hennepin","Auto SOV","Work-based",2272.72447872918
"Carver","Carver","Auto SOV","Escort",7369.02346058099
"Carver","Carver","Auto 2 Person","Escort",20604.2924304745
"Carver","Carver","Auto 2 Person","Maintenance",13180.7738047756
"Chisago","Dakota","Auto SOV","Work",92.649849722125
"Dakota","Chisago","Auto SOV","Work",92.649849722125
"Chisago","Chisago","Auto SOV","Work",19147.9304932935
"Rice","Dakota","Auto SOV","Maintenance",2900.89291650105
"Rice","Rice","Auto 2 Person","Visiting",1098.90675569961
"Rice","Rice","Walk","Discretionary",7885.8867208919
"Rice","Rice","Auto 2 Person","Shop",10113.2163967864
"Washington","Ramsey","Auto 3+ Person","Work",2174.6396230772
"Ramsey","Washington","Auto 3+ Person","Work",2709.51816544235
"Washington","Washington","Auto 3+ Person","Visiting",14225.9780154469
"Washington","Washington","Auto 3+ Person","Maintenance",23034.2440857131
"Ramsey","Washington","Auto SOV","Work-based",1186.48590947798
"Washington","Washington","Auto SOV","Work-based",10145.0124648429
"Washington","Washington","Auto 3+ Person","School",22945.0757877825
"Washington","Ramsey","Auto 3+ Person","Shop",4107.6329769821
"Ramsey","Washington","Auto 3+ Person","Shop",4020.77933986131
"Washington","Washington","Auto 3+ Person","Shop",9779.60996550622
"Washington","Washington","Auto 2 Person","Shop",26826.2157562939
"Ramsey","Hennepin","Auto SOV","Eating Out",3383.97130736846
"Hennepin","Ramsey","Auto 2 Person","Eating Out",1510.76071994099
"Hennepin","Hennepin","Auto 2 Person","Work-based",22098.9365098589
"Anoka","Anoka","Auto SOV","Escort",24792.1680990705
"Anoka","Anoka","Auto 3+ Person","Shop",22575.1179517902
"Anoka","Anoka","Auto 2 Person","Shop",20083.7564884151
"Anoka","Anoka","Auto 3+ Person","Maintenance",16251.6109428617
"Polk","Chisago","Auto SOV","Maintenance",1404.82028134423
"Chisago","Polk","Auto SOV","Maintenance",2150.58984012826
"Polk","Polk","Auto 3+ Person","Eating Out",285.43400181518
"Polk","Polk","Auto 2 Person","Eating Out",867.276622457705
"Polk","Polk","Auto 2 Person","Maintenance",14076.1425571141
"Dakota","Dakota","Auto 3+ Person","Visiting",10899.8877059915
"Hennepin","Hennepin","Auto SOV","University",12377.1216922685
"Dakota","Ramsey","Auto SOV","University",11.4518787459659
"Hennepin","Ramsey","Walk","Work-based",1015.53180811067
"Ramsey","Dakota","Walk","Work-based",1023.74649568726
"Sherburne","Sherburne","Auto 2 Person","Shop",11391.5592258979
"Sherburne","Anoka","Auto SOV","Discretionary",363.717625283087
"Anoka","Sherburne","Auto SOV","Discretionary",403.44177816332
"McLeod","McLeod","Walk","Eating Out",3349.30532556188
