HH_ID,JTOUR_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,COMPOSITION,JOINT_PURP
19131766,1,2,4,5,nan,nan,nan,nan,nan,nan,nan,3,4
19131766,2,2,6,7,nan,nan,nan,nan,nan,nan,nan,1,4
19131766,3,2,6,7,nan,nan,nan,nan,nan,nan,nan,1,5
19137502,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,6
19139463,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,4
19142036,1,4,1,2,4,5,nan,nan,nan,nan,nan,3,8
19142862,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,1
19142862,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
19147066,1,4,1,2,3,4,nan,nan,nan,nan,nan,3,3
19147066,2,4,1,3,4,6,nan,nan,nan,nan,nan,3,3
19147066,3,2,3,6,nan,nan,nan,nan,nan,nan,nan,3,9
19149494,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,1
19150301,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,2,6
19154618,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,3
19154618,2,3,1,3,4,nan,nan,nan,nan,nan,nan,3,8
19155018,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,1
19169036,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
19175135,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
19181360,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,4
19181360,2,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,4
19184756,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
19184756,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
19191085,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
19192689,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,9
19196697,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,9
19199265,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
19200863,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
19203234,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
19204227,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,9
19206062,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
19209661,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
19212392,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
19228255,1,3,1,4,5,nan,nan,nan,nan,nan,nan,3,4
19228965,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,7
19231743,1,4,2,3,4,5,nan,nan,nan,nan,nan,3,9
19231858,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
19232471,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
19232471,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
19232896,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,3
19233096,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,1
19233544,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
19236179,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,5
19236179,2,3,1,2,3,nan,nan,nan,nan,nan,nan,3,7
19236382,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
19238031,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,7
19243133,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
19244006,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
19249365,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,3
19249365,2,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,7
19249365,3,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,8
19249967,1,2,3,6,nan,nan,nan,nan,nan,nan,nan,2,3
19250994,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,4
19255290,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
19258098,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,9
19258098,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,5
19259712,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
19264611,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,1,9
19275864,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,4
19286640,1,2,4,5,nan,nan,nan,nan,nan,nan,nan,2,3
19287990,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
19290414,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,8
19292126,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
19292474,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,8
19292474,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
19295726,1,3,1,2,3,nan,nan,nan,nan,nan,nan,3,5
19296604,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
19300198,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
19303091,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
19303290,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,1
19303474,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
19308850,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,4
19311062,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
19311062,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
19311904,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,4
19314070,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,5
19314070,2,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,7
